title,vendor,ingredients_cleaned,description_cleaned,sold_count,90 Day Repurchase Rate
Digest + Debloat,ARTAH,"wild yam, chamomile, dandelion root, artichoke, lemon balm, mugwort, gentian, ethanol","Gentian, Dandelion, Wild yam, Chamomile, Digestive support, debloating, herbal blend, powder or tea (implied), adults (general audience)",299,0.415525
Digestion Drops,Buoy,"peppermint, fennel seed, ginger root, papaya, sodium, chloride, potassium, magnesium, calcium, manganese, boron, selenium, silica, copper, vitamin b1, vitamin b5, vitamin b6, purified water, citric acid, blood orange extract, acacia, rosemary, star anise, lime","magnesium, potassium, B vitamins, organic peppermint, fennel seed, ginger root, papaya, ionic trace minerals, electrolytes, digestion support, energy release, reduce tiredness and fatigue, muscle and nervous system function, hydration, drops, general adult use",0,0.0
Digestion Drops (3 bottles),Boka,,,0,0.0
Digestion Triple Mint & Cocoa,Cosmic Dealer,"cacao nibs, mint, spearmint, peppermint, pink peppercorns","sweet mint, spearmint, peppermint, raw cacao nibs, organic botanicals, aftermeal relaxation, loose tea, adults",0,0.0
Digestive Collagen - Mint,Planet Paleo,"bovine collagen, l-glutamine, peppermint leaf, liquorice root, lactobacillus plantarum, quercetin, artichoke leaf, vitamin b6, protease","grass-fed bovine collagen peptides, L-glutamine, digestive enzymes, vitamin B6, microflora, plant extracts, support protein and glycogen metabolism, support active lifestyle, digestive support, powder, adults",0,0.0
Digestive Enzyme Complex,NBPure,"amylase, protease, lactase, lipase, cellulase, invertase, diastase, beta-glucanase, xylanase, pectinase, phytase, ginger root, cinnamon bark, peppermint leaf, rice flour, cellulose","lactase, amylase, diastase, lipase, protease, ginger root, cinnamon bark, peppermint leaf, improve lactose digestion, break down starches and complex carbohydrates, support fat digestion, assist protein breakdown, digestive wellbeing, capsule or tablet (implied), adults",0,0.0
Digestive Enzyme Complex,Terranova,"fennel seed, green barley grass, stabilized rice bran, ginger, artichoke leaf, cardamom, gentian root, protease, amylase, lactase, glucoamylase, alpha galactosidase, invertase, lipase","enzymes (proteins, fats, carbohydrates), botanicals, whole foods, digestive support, capsule, adults",26,0.0
Digestive Enzyme w/BetaineHCl,Pure Encapsulations,"betaine, enzyme, plant fiber, microcrystalline cellulose, hydroxypropyl methyl cellulose","protease, pepsin, lipase, amylase, glucoamylase, invertase, alpha-galactosidase, lactase, betaine HCl, digestive support, enzyme blend for protein, fat, carbohydrate, and fiber digestion, capsule, adults seeking digestive support",0,0.0
Digestive Enzyme with Microflora,Terranova,"fennel seed, ginger, burdock root, stabilized rice bran, cardamom, artichoke leaf, protease, amylase, lactase, glucoamylase, alpha galactosidase, invertase, lipase, fructo-oligosaccharides, larch tree arabinogalactan, lactiplantibacillus plantarum, lacticaseibacillus paracasei, lacticaseibacillus rhamnosus, lactobacillus acidophilus, bifidobacterium lactis, hydroxypropyl methylcellulose","plant-based enzymes, fennel seed, ginger, artichoke leaf, microflora, prebiotic fibres, support digestion, balanced digestive health, capsule, vegetarians, vegans",0,0.0
Digestive Enzymes,Ancestral Supplements,"amylase, lipase, phytase, xylanase, pectinase, protease, lactase, invertase, bacillus subtilis, kidney, liver, pancreas, gallbladder, stomach, duodenum","lactase enzyme, amylase, lipase, protease, 100% grass-fed beef organs (liver, pancreas, gallbladder), improve lactose digestion, digestive support, capsule, adults",0,0.0
Digestive Enzymes,Ancient Nutrition,"turkey tail, black pepper, ginger, turmeric, flax seed, bromelain, cellulase, protease, lipase, amylase, kiwifruit, xylanase, bacillus coagulans, phytase, pectinase, lactase, hemicellulase, invertase, hypromellose","fermented mushrooms, botanicals, enzymes, probiotics, lactase enzyme, Bacillus coagulans, organic fermented turmeric root, ginger root, black pepper fruit, turkey tail mushroom, improve lactose digestion, break down proteins fats carbohydrates, digestive support, capsule, adults",20,0.0
Digestive Enzymes,BodyHealth,"betaine, pancreatin, pepsin, leucine, hypromellose, silicon dioxide, amylase, protease, lipase","betaine, amylase, protease, lipase, digestive support, mealtime comfort, veggie capsules, adults",69,0.0
Digestive Enzymes,Seeking Health,"alpha-galactosidase, alpha amylase, beta-glucanase, amylase, cellulase, lipase, galactomannase, glucoamylase, invertase, lactase, protease, phytase, acid protease, alkaline protease, pullulanase, maltase, hypromellose, water, microcrystalline cellulose, ascorbyl palmitate, silica, leucine","protease, lipase, lactase, amylase, DPP-IV, digestive support, lactose digestion, vegan enzyme supplement, capsule or tablet (implied), general adult audience",0,0.0
Digestive Enzymes Chewable,Seeking Health,"a-galactosidase, alpha amylase, beta-glucanase, amylase, cellulase, lipase, galactomannase, glucoamylase, invertase, lactase, protease, phytase, acid protease, alkaline protease, pullulanase, maltase, xylitol, stearic acid, raspberry juice, malic acid, cherry, magnesium stearate, orange, silicon dioxide, monk fruit","lactase, lipase, protease, cellulase, xylitol, improve digestion of proteins fats carbohydrates dairy plant fibres, maintain tooth mineralisation, chewable tablets, adults and children",0,0.0
Digestive Enzymes Ultra,Pure Encapsulations,"ascorbyl palmitate, plant fiber, microcrystalline cellulose, hydroxypropyl methyl cellulose","digestive enzymes (proteases, lipase, amylase, glucoamylase, invertase, lactase, cellulase, hemicellulase, beta-glucanase, phytase, alpha-galactosidase), digestive support, enzyme blend for breaking down proteins, carbohydrates, fats, fibre, lactose, vegetarian enzymes, capsule or tablet (implied), adults seeking digestive support",2920,0.474059
Digestive Enzymes Ultra with Betaine HCl,Pure Encapsulations,"betaine, enzyme, plant fiber, microcrystalline cellulose, hydroxypropyl methyl cellulose","vegetarian enzymes, protease, amylase, glucoamylase, invertase, lactase, betaine HCl, digestive support, breakdown of protein, carbohydrates, fats, fibre, lactose, capsule, adults seeking digestive support",2067,0.475043
Digestive Juice,Organic Olivia,"gentian root, oregon grape root, dandelion root, angelica root, peppermint leaf, orange peel, fennel seed, prickly ash bark, blue flag root, licorice root, ginger root, vegetable glycerin, deionized water","Gentian, Angelica, Orange Peel, Oregon Grape Root, Liquorice, Dandelion, Ginger, Peppermint, digestive aid, pre-meal ritual, spray, adults",63,0.0
Digestive Probiotics Soft Chew Supplement - Beef Liver Flavour,Finn,"lactobacillus acidophilus, lactobacillus fermentum, lactobacillus reuteri, lactobacillus plantarum, bifidobacterium bifidum, lactobacillus casei, pumpkin, inulin, fructooligosaccharides, brewer's yeast, tapioca starch, vegetable glycerin, purified water, sunflower lecithin, cheese, safflower oil, bacon flavor, beef liver, honey, ascorbic acid, mixed tocopherols, preservative","pumpkin, prebiotics, live probiotic cultures, supports digestion, maintains gut balance, chew, dogs",0,0.0
Digestzymes,Designs For Health,"betaine, ox bile, peptidase, taka-diastase, pepsin, glucoamylase, bacterial protease, fungal protease, lactase, acid protease, alpha-amylase, invertase, lipase, hypromellose, microcrystalline cellulose, medium chain triglycerides","digestive enzymes (proteins, fats, carbohydrates), lactase, betaine hydrochloride, DPP IV enzyme, lipase, proteases, amylases, ox bile extract, improve digestion, support lactose digestion, emulsify fats, support homocysteine metabolism, capsule or tablet (implied), adults",56,0.0
Discovery Electrolyte Pack - Himalayan Lime + Berry Pomegranate,Humantra,"vitamin c, vitamin b12, calcium, phosphorus, magnesium, zinc, chloride, sodium, potassium, citric acid, natural flavours, silica, rebaudioside a, lemon fruit powder, stevia leaf extract, malic acid, beet root, beta-carotene","vitamin C, vitamin B12, zinc citrate, magnesium, calcium, potassium, phosphorus, Himalayan salt, electrolyte blend, hydration, immune system support, reduce tiredness and fatigue, muscle function support, energy metabolism support, drink mix, adults/active lifestyle",0,0.316528
Discovery Pack,Healf Bundles,,,0,0.0
Dishwasher Detergent Pods - Unscented,Molly's Suds,"sodium carbonate, sodium sulfate, sodium silicate, alkyl polyglucoside, sodium citrate, sodium percarbonate, taed, propylene glycol, itaconic acid, sulfonate copolymer, protease, amylase, pvoh","plant-based surfactants, protease, amylase, dishwashing, cleaning dishes, dishwasher pods, all dishwashers, general audience",0,0.0
Divinely Dark Madagascan Chocolate Chips,Nibble Simply,"madagascar cocoa mass, coconut sugar, cocoa butter, vanilla","Madagascan cocoa mass, coconut sugar, 81% cocoa, vegan, gluten-free, reduced sugar, chocolate chips, baking, mindful moments, general audience",34,0.320388
Doc Pop,Poppi,"sparkling water, cane sugar, natural flavors, agave inulin, apple cider vinegar, apple juice, stevia, tartaric acid, caffeine","apple cider vinegar, organic agave inulin, soda with flavor and fizz, can, general audience",20,0.0
Dolovent,Nouveau Healthcare,"vitamin a, vitamin c, vitamin e, thiamine, riboflavin, niacin, vitamin b6, vitamin b12, folic acid, vitamin d, pantothenic acid, biotin, magnesium, iron, zinc, manganese, copper, chromium, molybdenum, selenium, coenzyme q10, bioflavonoids","Magnesium, Riboflavin (Vitamin B2), Vitamins B6, B12, C, Niacin, Iron, Zinc, Vitamin D, Manganese, Vitamin A, capsule, adults",177,0.37561
DopaBoost,Designs For Health,"vitamin b6, pyridoxal, n-acetyl-l-tyrosine, mucuna, green tea, quercetin, cellulose, stearate","Mucuna pruriens (L-DOPA), N-Acetyl-L-Tyrosine, Green Tea Extract (EGCg), Quercetin, Pyridoxal-5-Phosphate (Vitamin B6), supports nervous system function, energy metabolism, reduces tiredness and fatigue, regulates hormonal activity, supports psychological function, capsule or tablet (implied), adults",43,0.0
Dopamine Brain Food,Natural Stacks,"methylcobalamin, folate, tyrosine, trimethylglycine, vitamin c, vitamin b6, l-phenylalanine, hypromellose, silica, ascorbyl palmitate","B12, B6, folate, vitamin C, supports normal psychological function, reduces tiredness and fatigue, supports energy-yielding metabolism, multi-nutrient formula, not specified, general adult audience",383,0.377143
Dopamine Nutrients,Seeking Health,"vitamin b6, turmeric, royal jelly, ginkgo, saffron, l-tyrosine, hypromellose, water, ascorbyl palmitate, silica, leucine","Vitamin B6, L-tyrosine, Ginkgo biloba, Curcugen turmeric extract, Royal Jelly, Safr’Inside saffron extract, support normal psychological function, support energy metabolism, reduce tiredness and fatigue, maintain normal nervous system function, daily wellbeing, not specified, adults seeking mental focus and nervous system support",0,0.0
Dopamine+,Transparent Labs,"vitamin b6, folate, l-tyrosine, oroxylum indicum extract, citicoline, saffron extract, hypromellose, magnesium stearate, silicon dioxide","vitamin B6, folate, choline, Sabroxy® (Oroxylum indicum) bark extract, Cognizin® Citicoline, L-Tyrosine, saffron extract, supports normal psychological function, reduces tiredness and fatigue, supports immune system function, supports normal homocysteine metabolism, maintains normal liver function, cognitive support, capsule, adults",0,0.0
Double Strength Milk Thistle - 300 mg,NOW Foods,"milk thistle, silymarin, dandelion root, artichoke leaf, hypromellose, microcrystalline cellulose, silicon dioxide, magnesium stearate","milk thistle, dandelion root, artichoke, liver support and detoxification, capsule, adults seeking traditional herbal supplements",32,0.0
Doubly Delicious Choc Choc Chip,Nibble Simply,"cashews, dark chocolate, cocoa mass, coconut sugar, cocoa butter, vanilla extract, cocoa powder, chicory fibre, coconut flour, himalayan salt, vitamin e","cocoa, dark chocolate chips, coconut flour, chicory fibre, high fibre, low sugar, gluten-free, low-carb, keto friendly, plant-based, snack, chocolate lovers, flexible lifestyles, chocolate snack",36,0.288136
Doze & Dream,The Herbtender,"ashwagandha root, passionflower herb, reishi, german chamomile flowers, nutmeg, ascophyllum nodosum, vegetable cellulose","iodine, organic ashwagandha, reishi mushroom, chamomile, passionflower, nutmeg, support normal cognitive function, support wellbeing before bed, blend, adults",0,0.0
Doze & Dream: Discovery,The Herbtender,"ashwagandha root, passionflower herb, reishi, german chamomile flowers, nutmeg, ascophyllum nodosum, vegetable cellulose","iodine, organic ashwagandha, reishi mushroom, chamomile, passionflower, nutmeg, support normal cognitive function, support wellbeing before bed, blend, adults",0,0.0
Dr Rangan Chatterjee's 3Q Journal - Oat,Intelligent Change,,"3 months of daily journaling, improves mental clarity and sleep quality, enhances motivation and daily productivity, assists mindfulness practice, reduces stress and anxiety, journal, adults with busy lifestyles",80,0.0
Dr Seb's Dental Kit,Dr Seb - The Biological Dentist,"calcium carbonate, sorbitol, water, sodium bicarbonate, xylitol, silica, hydroxyapatite, sodium cocoyl glutamate, mentha piperita, xanthan gum, stevia rebaudiana leaf extract, aloe barbadensis leaf extract, melia azadirachta seed oil, camellia sinensis leaf extract, copper, coconut oil","pure silk, candelilla wax, peppermint oil, hydroxyapatite, copper, organic coconut oil, nasal breathing strips, nasal dilator, cleans teeth, soothes gums, freshens breath, improves oral hygiene, anti-fungal, anti-bacterial, improves sleep quality, reduces snoring, supports nasal breathing, oral care, skin and hair moisturizer, floss, toothpaste, tongue scraper, coconut oil, mouth tape strips, nasal dilator, general adult users",0,0.0
Dr. Shade's Catalyzed Mineral Complex,Quicksilver Scientific,"vitamin c, calcium, copper, chromium, iodine, iron, magnesium, manganese, molybdenum, potassium, selenium, zinc, boron, lithium, shilajit, vanadium, cellulose","calcium, magnesium, manganese, vitamin C, iron, zinc, iodine, copper, selenium, Shilajit, Laminaria, broad-spectrum mineral support, maintain normal bones and muscle function, reduce tiredness and fatigue, support nervous system, protect cells from oxidative stress, support cognitive function, capsule or tablet (form factor not explicitly stated), adults or busy lifestyles",0,0.0
Dragonfruit Powder - Pink Pitaya,Ancient Purity,dragon fruit,"dragonfruit powder, dietary fibre, adding colour and sweetness to recipes, powder, general audience",16,0.0
Dream 1.2 - Black,Loop,,"silicone, memory foam, noise reduction, earplugs, sleep improvement, ear tip styles, in-ear, adults",0,0.0
Dream 1.2 - Lilac,Loop,,"silicone, memory foam, noise reduction, earplugs, sleep improvement, in-ear, adults",0,0.0
Dream 1.2 - Peach,Loop,,"silicone, memory foam, noise reduction, earplugs, sleep improvement, ear tip styles, in-ear, adults",0,0.0
Dream Tea,Anima Mundi,"passionflower leaf, skullcap leaf, tulsi leaf, ashwagandha root, kava root, ginger root, rose petals, blue lotus flower, blue cornflower, stevia leaf, kalea leaf","Skullcap, Passionflower, Blue Lotus, Kava Kava, Ashwagandha, Tulsi, Rose, Blue Cornflower, relaxation, calm, bedtime ritual, tea infusion, adults",0,0.0
Dreamer,Healf Bundles,,"Cornish Lavender, Provençal Lavender, Himalayan Lavender, Dalmatian Sage, Rose Absolute Maroc, medical-grade latex-free material, calming plants, promote relaxation, improve sleep quality, support nasal breathing, reduce snoring and drooling, soothe nerves, manage anxiety and stress, pillow spray, sleep strips, eye mask, sleep tonic, adults seeking better sleep and relaxation",0,0.0
Drink Mix 160,Maurten,"maltodextrin, fructose, sodium alginate, pectin, sodium bicarbonate, salt","carbohydrates, hydrogel technology, sodium bicarbonate, fructose, pectins, carbohydrate-powered hydration, sustained activity, training support, easy drinking, gentle on the stomach, powder, athletes",654,0.246305
Drink Mix 320,Maurten,"maltodextrin, fructose, sodium alginate, pectin, sodium bicarbonate, salt","carbohydrates (80g per 500ml), fructose, sodium bicarbonate, Hydrogel Technology, fuel for demanding efforts, reduces stomach heaviness, maintains neutral pH, sports drink, powder mix, athletes, vegan-friendly",1381,0.258713
Drink Mix 320 Caf 100,Maurten,"maltodextrin, fructose, caffeine, pectin, sodium alginate, sodium chloride, sodium bicarbonate","carbohydrates (80g), caffeine (100mg), fructose blend, pectins, endurance athletes, drink mix",377,0.261146
Drink Mixer - Bitter Orange,Aarke,"water, sugar, citric acid, quinine, aronia juice, hibiscus extract, potassium sorbate","orange, grapefruit, hibiscus, flavoring syrup, transforms sparkling water into a sophisticated drink, syrup, general adult consumers",0,0.0
Drink Mixer - Spicy Ginger,Aarke,"water, cane sugar, citric acid, natural flavour, ginger juice, potassium sorbate","real ginger juice, natural flavours, drink mixer, cocktail mixer, liquid form, adults",0,0.0
Drink Mixer - Spruce Tonic,Aarke,"water, sugar, citric acid, quinine, potassium sorbate","spruce-inspired notes, mixer for tonic or sparkling water, liquid in recyclable glass bottle, adults or general audience",0,0.0
Drink Mixer - Yuzu Basil,Aarke,"water, sugar, citric acid, natural flavours, potassium sorbate","yuzu, Thai basil, coconut, mixer for sparkling water or soda, liquid mixer, adults",0,0.0
Drinkflask,Maurten,,"550ml capacity, hydration for runners, soft flexible flask, runners",0,0.0
Drip Coffee Machine - Black,Smeg,"stainless steel, plastic, glass, zinc alloy","water, coffee, adjustable aroma intensity, programmable auto-start, keep warm function, LED display with timer and clock, drip coffee machine, brews up to 10 cups, 1.25L glass carafe, 1.4L water container, sound alert, anti-slip base, adjustable water hardness, coffee brewing, coffee preparation, household coffee drinkers, adults, drip coffee machine",0,0.0
Drip Coffee Machine - Pastel Blue,Smeg,"stainless steel, plastic, glass, zinc alloy","water, coffee, adjustable aroma intensity, programmable auto-start, keep warm function, LED display with timer and clock, drip coffee machine, brews up to 10 cups, 1.25L glass carafe, 1.4L water container, sound alert, anti-slip base, adjustable water hardness, coffee brewing, coffee preparation, kitchen appliance, adults",0,0.0
Drip Coffee Machine - White,Smeg,"stainless steel, plastic, glass, zinc alloy","water, coffee, adjustable aroma intensity, programmable auto-start, keep warm function, LED display with timer and clock, drip coffee machine, brews up to 10 cups, 1.25L glass carafe, 1.4L water container, sound alert, anti-slip base, adjustable water hardness, coffee brewing, coffee maker, household adults",0,0.0
Dry Shampoo,Ceremonia,"arrowroot, brazilian clay, aloe vera","arrowroot, absorbs excess oil, balances scalp, adds volume and texture to hair, dry shampoo, all hair types",0,0.0
Dry Shampoo - All Hair Types,Acure,"zea mays starch, sodium bicarbonate, maranta arundinacea root powder, kaolin, rosmarinus officinalis leaf oil, mentha piperita oil","Arrowroot Powder, Kaolin Clay, Rosemary, Peppermint, cleanses hair, removes dirt, adds shine, adds volume, quick hair refresh, dry shampoo, all hair types, travel-friendly, vegan",0,0.0
Dryft Sleep Ear Plugs,Dryft Sleep,silicone,"medical-grade silicone, noise reduction for sleep study work travel, earplugs, women",91,0.0
Dusk,APE Nutrition,"ganoderma lucidum, inonotus obliquus, hpmc","Reishi mushrooms, Chaga mushrooms, evening support, capsules, adults",18,0.0
Dynamic Ab Roller,Physical Company,,"foam handles, dual wheels, foot strap, core muscle strengthening, lower abdominal targeting, exercise equipment, adults",71,0.0
Dynamis Drops,Australian Bush Flower Essences,"banksia robur, crowea, illawarra flame tree, macrocarpa, old man banksia, yellow cowslip orchid","Banksia Robur, Crowea, Illawarra Flame Tree, Macrocarpa, Old Man Banksia, Yellow Cowslip Orchid, supports daily sense of balance and wellbeing, drops, general adult audience",3,0.0
E-Sport Vitamins+,Codeage,"vitamin d3, vitamin b6, vitamin b12, magnesium, zinc, n-acetyl l-tyrosine, citicoline, l-theanine, bacopa monnieri, ginkgo biloba, black pepper, lutein, astaxanthin, zeaxanthin, huperzine a, methylcellulose, ascorbyl palmitate, microcrystalline cellulose, silicon dioxide","Cognizin® citicoline, Bacopa Monnieri, Astaxanthin, vitamins B6, B12, D3, magnesium glycinate, zinc, L-Theanine, Huperzine A, N-Acetyl L-Tyrosine, Lutein, Zeaxanthin, Ginkgo Biloba, BioPerine®, support psychological and nervous system function, energy metabolism, immune system health, reduce tiredness and fatigue, daily supplement, capsule or tablet (implied), adults seeking focus and energy support",0,0.0
EASE: Dark Roast Ground Coffee,Purity Coffee,arabica coffee,"organic Arabica beans, low acidity, dark chocolate, roasted walnut, brown spice, coffee, gentle on palate, drip brewers, manual pour-over, Aeropress, Clever Dripper, French press, coffee drinkers",0,0.0
EASE: Dark Roast Whole Bean Coffee,Purity Coffee,arabica coffee,"organic Arabica beans, bold full-bodied brew, whole coffee beans, coffee drinkers",0,0.0
EDTA,Quicksilver Scientific,"sodium, edta, lipoic acid, phosphatidylcholine, soybean lecithin, glycerin, ethanol, water, sodium hydroxide","EDTA, sodium R-lipoate, liposomes, enhanced cellular absorption, EDTA supplementation, liposomal delivery system, oral supplement, adults",0,0.0
EGCg,Designs For Health,"epigallocatechin gallate, green tea leaf extract, cellulose, microcrystalline cellulose, vegetable stearate","green tea extract (225 mg), 45% epigallocatechin gallate (EGCg), 98% polyphenols, decaffeinated, low fluoride, antioxidant support, capsule, adults, vegetarians, vegans",0,0.0
EMF Blocking Fanny Pack,HigherDOSE,,"vegan black leather, silver-woven fabric, cotton, EMF blocking, carry essentials, hands-free convenience, fanny pack, adults",0,0.0
EMF Radiation Blocking Blanket,BON CHARGE,,"100% silver-coated fabric, blocks EMF radiation up to 20GHz including Wi-Fi, Bluetooth, 4G/5G, EMF radiation protection, blanket, general audience",0,0.0
EMF Radiation Free Air Tube Earphones - AUX,BON CHARGE,,"air-filled acoustic tubes, prevents RF radiation exposure, earphones, general users",0,0.0
ENERGY BOOST Vitamin B12 Patch - Lightning Bolt Symbols,Barriere,"vitamin b12, folate","vitamin B12, folate, support normal energy-yielding metabolism, reduce tiredness and fatigue, normal red blood cell formation, support psychological and nervous system function, transdermal patch, adults",0,0.0
ENERGY BOOST Vitamin B12 Patch - Mini Menagerie Symbols,Barriere,"vitamin b12, folate","Vitamin B12, folate, support energy-yielding metabolism, reduce tiredness and fatigue, support red blood cell formation, maintain psychological and nervous system function, transdermal patch, adults seeking energy support",0,0.0
ENERGYbits - Spirulina,Energybits,,"Spirulina, plant-based protein, B vitamins, Omega-3 fatty acids, nutrient-dense, snacking, workouts, intermittent fasting, sports, tablets, adults",213,0.453184
ENERGYbits Spirulina - Cannister,Energybits,spirulina algae,"spirulina, plant-based protein, B vitamins, Omega-3 fatty acids, energy support, nutrient boost, tablets, active individuals",0,0.0
ENERGYbits® Spirulina - Large Box,Energybits,spirulina algae,"spirulina, plant-based protein, B vitamins, Omega-3 fatty acids, snacking, fasting, on-the-go support, tablets, active lifestyle adults",0,0.0
EPA,Nordic Naturals,"fish oil, anchovy, sardine, gelatin, glycerin, water, natural flavor, alpha tocopherol, rosemary extract","EPA, DHA, supports heart function, soft gels, adults",0,0.0
EPA + DHA Liquid Kids,MINAMI,"fish oil, anchovy, sardine, mackerel, mixed berry flavouring, orange flavouring, d-alpha tocopherol, mixed tocopherols, cholecalciferol","Omega-3 fatty acids (EPA & DHA), Vitamin D3, support normal bones and teeth, support immune function, liquid, children",0,0.0
EPA Xtra,Nordic Naturals,"eicosapentaenoic acid, docosahexaenoic acid, fish oil, anchovies, sardines, mackerel, herring, gelatin, glycerin, water, natural flavor, alpha tocopherol, rosemary extract","EPA, DHA, omega-3 fatty acids, support normal heart function, liquid or softgel (implied), adults seeking omega-3 supplementation",0,0.0
EPA-DHA Balance - 600mg,Jarrow Formulas,"fish oil, omega-3 fatty acids, eicosapentaenoic acid, docosahexaenoic acid, gelatin, glycerin, water, natural flavor, mixed tocopherols","EPA, DHA, omega-3 fatty acids, heart function, brain function, vision support, supplement, adults",49,0.0
EPA/DHA Essentials,Pure Encapsulations,"fish oil, gelatin, glycerin, water, tocopherol","fish oil, EPA, DHA, support heart function, maintain normal vision, maintain brain function, fish oil concentrate, adults",483,0.467742
EUPHORIA: Aphrodisiac Elixir,Anima Mundi,"guarana seeds, catuaba bark, muira puama bark, suma root, hibiscus flower, damiana leaf, schisandra berry, goji berry, rose petals, vegetable glycerin, cane spirits, filtered water, night blooming jasmine essential oil","guarana, catuaba, damiana, wildcrafted and organic herbs and flowers, aphrodisiac, aromatic enhancer for drinks, liquid elixir, adults",537,0.378238
EVA Yoga Block - Black,Yoga Studio,,"EVA foam, yoga support and stability, foam block, yoga practitioners",1,0.0
EVA Yoga Block - Graphite Grey,Yoga Studio,,"EVA foam, yoga support, stability, durability, foam block, yoga practitioners",11,0.0
EVA Yoga Brick - Black,Yoga Studio,,"EVA foam, support and stability in yoga poses, yoga brick, yogis",8,0.0
Ear Seed Kit - Crystal,WTHN,,"Swarovski Crystal, Gold (24k gold-plated on stainless steel), medical-grade adhesive; restores hormonal balance, relieves pain, reduces stress, improves sleep quality, supports immune system, relieves migraines and chronic pain, aids weight loss, alleviates low back pain, promotes healthy digestion; adhesive beads (Ear Seeds); general adult users seeking holistic health benefits",33,0.0
Ear Seed Kit - Gold,WTHN,,"gold-plated stainless steel, medical-grade adhesive, restores hormonal balance, relieves pain, reduces stress, improves sleep quality, supports immune system, relieves migraines, aids weight loss, alleviates low back pain, promotes healthy digestion, adhesive beads, adults",21,0.0
Ear Seed Kit - Gold Stud,WTHN,,"Gold Aurum Seeds, Gold Ear Seeds (24k gold-plated on stainless steel base), restores hormonal balance, relieves pain, reduces stress, improves sleep quality, supports immune system, relieves migraines and chronic pain, aids weight loss, alleviates low back pain, promotes healthy digestion, adhesive beads, adults",31,0.0
Earl Grey,Rishi Tea,"black tea, bergamot oil","organic black teas, first-pressed bergamot oil, Thai black tea, Yunnan Dian Hong, refreshing pause, aromatic experience, tea, adults",0,0.0
Earl Grey Loose Leaf Tea,Rishi Tea,"black tea, bergamot oil","organic black teas, first-pressed bergamot oil, refreshing beverage, loose leaf tea, general adult audience",0,0.0
Earthpaste – Lemon Twist,Redmond Life,"water, bentonite clay, xylitol, silver, lemon essential oil, sea salt, tangerine essential oil, lime essential oil, lemon verbena essential oil","bentonite clay, xylitol, nano silver, essential oils, gently polishes teeth, removes surface stains, maintains tooth mineralisation, toothpaste, general adult use",43,0.0
Earthpaste – Peppermint,Redmond Life,"water, bentonite clay, xylitol, silver, sea salt, peppermint oil, menthol, tea tree oil","xylitol, bentonite clay, nano silver, sea salt, peppermint oil, tea tree oil, maintain tooth mineralisation, remove surface stains, polish teeth, toothpaste, general audience",69,0.0
Earthpaste – Peppermint w/charcoal,Redmond Life,"water, bentonite clay, xylitol, silver, activated charcoal, peppermint, sea salt, menthol, tea tree","xylitol, activated charcoal, bentonite clay, nano silver, polishes teeth, maintains tooth mineralisation, toothpaste, general audience",63,0.0
Earthpaste – Spearmint (unsweetened),Redmond Life,"water, bentonite clay, silver, sea salt, spearmint oil, menthol, tea tree oil","bentonite clay, nano silver, pure essential oils, sea salt, toothpaste, gentle natural clean, fresh mouthfeel, paste, general audience",69,0.0
Earthpaste – Wintergreen,Redmond Life,"water, bentonite clay, xylitol, silver, sea salt, wintergreen oil, menthol, tea tree oil","bentonite clay, nano silver, xylitol, sea salt, polishes teeth, removes surface stains, supports tooth mineralisation, toothpaste, general audience",55,0.0
Earthpowder – Black Liquorice with Charcoal,Redmond Life,"bentonite clay, xylitol, sea salt, activated charcoal, anise, fennel","bentonite clay, sea salt, essential oils, activated charcoal, xylitol, tooth cleaning, stain removal, tooth mineralisation maintenance, tooth powder, general audience",3,0.0
Earthpowder – Peppermint,Redmond Life,"bentonite clay, xylitol, sea salt, activated charcoal, peppermint oil, menthol","bentonite clay, sea salt, activated charcoal, peppermint essential oil, menthol, non-GMO xylitol, tooth cleaning, fresh breath, tooth mineralisation, tooth powder, general audience",6,0.0
Earthpowder – Splashin Citrus,Redmond Life,"bentonite clay, xylitol, sea salt, sweet orange, lemon, mandarin, tangerine, lime","bentonite clay, sea salt, essential oils, non-GMO xylitol, tooth cleaning, tooth mineralisation support, tooth powder, general audience",1,0.0
Easy Greens Superfood,Organifi,"acacia, coconut, lemon, carrot, spinach, moringa, chlorella, red beet, broccoli, bacillus coagulans, amylase, protease, lipase, lactase, cellulase, cane sugar, stevia","calcium, iron, potassium, carrots, spinach, broccoli, moringa, chlorella, beet, coconut water, lemon juice, acacia fibre, supports muscle function, supports cognitive development, supports nervous system health, powder, children",105,0.48
Easy Iron 20mg Complex,Terranova,"rose hips, rice bran, green barley grass, acai berry, iron","iron bisglycinate, rose hips, stabilised rice bran, green barley grass, organic acai berry, supports immune system, reduces tiredness and fatigue, supports cognitive function, supports energy metabolism, supports red blood cell and haemoglobin formation, supports oxygen transport, supplement, adults",60,0.0
Easy Swallow Mini,Wiley's Finest,"omega-3 ethyl esters, wild alaska pollock oil, fish gelatin, glycerin, purified water, mixed tocopherols","EPA, DHA, Omega-3 fatty acids, support normal heart function, mini softgels, adults",0,0.0
